family_id	head	size	book_hits	raw_hits	book_members	peak_word	charged	labelled	charged_pct	pos_ct	neg_ct	contrast	held	done	eligible
oewn-00856102-v	deceive	23	167	504	16	fool	12	23	0.52	6	6	1	0	0	0
oewn-01122487-v	assail	27	166	1182	24	set	8	27	0.3	0	8	0	0	0	0
oewn-01153025-v	target	9	166	1962	8	place	0	9	0.0	0	0	0	0	0	0
oewn-01273348-v	line	5	166	1308	3	face	0	5	0.0	0	0	0	0	0	0
oewn-01511000-v	throw	31	165	2014	24	pass	0	31	0.0	0	0	0	0	0	0
oewn-02641740-v	leave	4	165	1863	4	leave	0	4	0.0	0	0	0	0	0	0
oewn-00957633-v	elaborate	21	164	253	12	instance	3	21	0.14	3	0	0	0	0	0
oewn-01903255-v	thrust	18	164	1062	15	drive	0	18	0.0	0	0	0	0	0	0
oewn-00808164-v	approve	14	164	1380	8	back	6	14	0.43	6	0	0	0	0	0
oewn-00488684-v	load	9	164	584	6	doctor	5	9	0.56	0	5	0	0	0	0
oewn-00899077-v	address	4	164	1276	4	call	0	4	0.0	0	0	0	0	0	0
oewn-02405179-v	prefer	4	164	285	4	advantage	4	4	1.0	4	0	0	0	0	0
oewn-02502465-v	subjugate	4	164	326	3	subject	0	4	0.0	0	0	0	0	0	0
oewn-00905339-v	forgive	11	163	639	9	free	1	11	0.09	1	0	0	0	0	0
oewn-01701711-v	create verbally	8	163	709	6	write	0	8	0.0	0	0	0	0	0	0
oewn-01469999-v	surround	15	162	476	15	ring	1	15	0.07	1	0	0	0	0	0
oewn-00087206-v	sicken	7	162	5021	6	take	5	7	0.71	0	5	0	0	0	0
oewn-00382272-v	transform	6	162	1557	4	turn	0	6	0.0	0	0	0	0	0	0
oewn-01383303-v	gather	38	161	713	28	shock	0	38	0.0	0	0	0	0	0	0
oewn-00223926-v	weaken	29	161	710	25	slow	5	29	0.17	2	3	1	0	0	0
oewn-02079709-v	flee	21	161	1102	14	break	2	21	0.1	2	0	0	0	0	0
oewn-02665841-v	fit	4	161	4213	3	go	3	4	0.75	3	0	0	0	0	0
oewn-02684473-v	matter to	4	161	447	4	interest	4	4	1.0	4	0	0	0	0	0
oewn-02578034-v	victimize	15	160	317	5	short	2	15	0.13	0	2	0	0	0	0
oewn-02492581-v	meet	11	159	1846	9	call	2	11	0.18	2	0	0	0	0	0
oewn-02034003-v	separate	9	159	870	8	part	0	9	0.0	0	0	0	0	0	0
oewn-00063866-v	relieve	7	159	413	7	comfort	7	7	1.0	5	2	1	0	0	0
oewn-02627475-v	form	5	159	3414	4	make	0	5	0.0	0	0	0	0	0	0
oewn-00225327-v	weaken	36	158	1360	20	break	4	36	0.11	4	0	0	0	0	0
oewn-00767694-v	urge	10	158	729	9	hurry	0	10	0.0	0	0	0	0	0	0
oewn-02560130-v	foster	7	158	940	7	grow	3	7	0.43	3	0	0	0	0	0
oewn-01622373-v	re-create	28	157	1628	18	present	0	28	0.0	0	0	0	0	0	0
oewn-00233707-v	restrain	25	157	2588	22	keep	1	25	0.04	0	1	0	0	0	0
oewn-01230239-v	penetrate	38	156	1731	28	break	2	38	0.05	2	0	0	0	0	0
oewn-01119003-v	resist	16	156	1716	13	stand	2	16	0.12	0	2	0	0	0	0
oewn-01709353-v	compose	13	156	1394	7	set	2	13	0.15	2	0	0	0	0	0
oewn-01088514-v	race	9	156	2856	6	place	0	9	0.0	0	0	0	0	0	0
oewn-02292634-v	lose	7	156	811	4	lose	3	7	0.43	2	1	1	0	0	0
oewn-02519655-v	wrong	5	156	156	2	wrong	2	5	0.4	0	2	0	0	0	0
oewn-00731363-v	wonder	4	156	467	4	wonder	4	4	1.0	4	0	0	0	0	0
oewn-01450719-v	pull	28	155	1895	20	draw	1	28	0.04	0	1	0	0	0	0
oewn-00426920-v	appear	4	155	1157	4	air	0	4	0.0	0	0	0	0	0	0
oewn-02762516-v	rain	16	154	314	12	rain	4	16	0.25	0	4	0	0	0	0
oewn-02477113-v	register	12	154	1072	11	enter	0	12	0.0	0	0	0	0	0	0
oewn-02712676-v	defy	8	154	982	7	hold	4	8	0.5	0	4	0	0	0	0
oewn-01715304-v	stage	7	154	2282	5	place	0	7	0.0	0	0	0	0	0	0
oewn-02622766-v	exist	7	154	922	6	live	1	7	0.14	1	0	0	0	0	0
oewn-01515097-v	fling	5	154	321	5	sky	0	5	0.0	0	0	0	0	0	0
oewn-00611060-v	mind	4	154	858	3	mind	2	4	0.5	2	0	0	0	0	0
oewn-00472642-v	extinguish	24	152	599	16	cut	1	24	0.04	0	1	0	0	0	0
oewn-00334996-v	break	22	152	1669	16	run	2	22	0.09	0	2	0	0	0	0
oewn-01093838-v	fight	18	152	1194	13	stand	1	18	0.06	0	1	0	0	0	0
oewn-01260866-v	fell	10	152	861	6	drop	0	10	0.0	0	0	0	0	0	0
oewn-01636885-v	gestate	8	152	1794	5	find	1	8	0.12	1	0	0	0	0	0
oewn-02228837-v	get rid of	50	151	442	21	remove	0	50	0.0	0	0	0	0	0	0
oewn-01288043-v	tie	19	151	519	15	tie	0	19	0.0	0	0	0	0	0	0
oewn-02481345-v	appoint	17	151	3543	11	make	4	17	0.24	1	3	1	0	0	0
oewn-00892111-v	guarantee	7	151	3198	7	make	1	7	0.14	1	0	0	0	0	0
oewn-02444146-v	set about	6	151	1112	6	face	3	6	0.5	0	3	0	0	0	0
oewn-00737576-v	arrange	9	150	1260	5	put	0	9	0.0	0	0	0	0	0	0
oewn-02301114-v	impart	5	150	2955	5	give	0	5	0.0	0	0	0	0	0	0
oewn-01060995-v	notice	4	150	555	4	notice	0	4	0.0	0	0	0	0	0	0
